index,a,b,c,d,e
5521,sneeze,sneezes,sneezed,sneezed,sneezing
5522,snicker,snickers,snickered,snickered,snickering
5523,sniff,sniffs,sniffed,sniffed,sniffing
5524,sniffle,sniffles,sniffled,sniffled,sniffling
5525,snigger,sniggers,sniggered,sniggered,sniggering
5526,snip,snips,snipped,snipped,snipping
5527,snipe,snipes,sniped,sniped,sniping
5528,snitch,snitches,snitched,snitched,snitching
5529,snivel,snivels,snivelled,snivelled,snivelling
5530,snog,snogs,snogged,snogged,snogging
5531,snooker,snookers,snookered,snookered,snookering
5532,snoop,snoops,snooped,snooped,snooping
5533,snooze,snoozes,snoozed,snoozed,snoozing
5534,snore,snores,snored,snored,snoring
5535,snorkel,snorkels,snorkelled,snorkelled,snorkelling
5536,snort,snorts,snorted,snorted,snorting
5537,snow,snows,snowed,snowed,snowing
5538,snowball,snowballs,snowballed,snowballed,snowballing
5539,snowplough,snowploughs,snowploughed,snowploughed,snowploughing
5540,snub,snubs,snubbed,snubbed,snubbing
5541,snuff,snuffs,snuffed,snuffed,snuffing
5542,snuffle,snuffles,snuffled,snuffled,snuffling
5543,snuggle,snuggles,snuggled,snuggled,snuggling
5544,soak,soaks,soaked,soaked,soaking
5545,soap,soaps,soaped,soaped,soaping
5546,soar,soars,soared,soared,soaring
5547,sob,sobs,sobbed,sobbed,sobbing
5548,sober,sobers,sobered,sobered,sobering
5549,socialise,socialises,socialised,socialised,socialising
5550,socialize,socializes,socialized,socialized,socializing
5551,sock,socks,socked,socked,socking
5552,sod,sods,sodded,sodded,sodding
5553,sodomise,sodomises,sodomised,sodomised,sodomising
5554,sodomize,sodomizes,sodomized,sodomized,sodomizing
5555,soft-pedal,soft-pedals,soft-pedalled,soft-pedalled,soft-pedalling
5556,soft-shoe,soft-shoes,soft-shoed,soft-shoed,soft-shoeing
5557,soft-soap,soft-soaps,soft-soaped,soft-soaped,soft-soaping
5558,soften,softens,softened,softened,softening
5559,softpedal,softpedals,softpedalled,softpedalled,softpedalling
5560,softshoe,softshoes,softshoed,softshoed,softshoeing
5561,softsoap,softsoaps,softsoaped,softsoaped,softsoaping
5562,soil,soils,soiled,soiled,soiling
5563,sojourn,sojourns,sojourned,sojourned,sojourning
5564,solace,solaces,solaced,solaced,solacing
5565,solder,solders,soldered,soldered,soldering
5566,soldier,soldiers,soldiered,soldiered,soldiering
5567,sole,soles,soled,soled,soling
5568,solemnise,solemnises,solemnised,solemnised,solemnising
5569,solemnize,solemnizes,solemnized,solemnized,solemnizing
5570,solicit,solicits,solicited,solicited,soliciting
5571,solidify,solidifies,solidified,solidified,solidifying
5572,soliloquise,soliloquises,soliloquised,soliloquised,soliloquising
5573,soliloquize,soliloquizes,soliloquized,soliloquized,soliloquizing
5574,solo,solos,soloed,soloed,soloing
5575,solve,solves,solved,solved,solving
5576,somersault,somersaults,somersaulted,somersaulted,somersaulting
5577,soothe,soothes,soothed,soothed,soothing
5578,sop,sops,sopped,sopped,sopping
5579,sorrow,sorrows,sorrowed,sorrowed,sorrowing
5580,sort,sorts,sorted,sorted,sorting
5581,sough,soughs,soughed,soughed,soughing
5582,sound,sounds,sounded,sounded,sounding
5583,soundproof,soundproofs,soundproofed,soundproofed,soundproofing
5584,soup,soups,souped,souped,souping
5585,sour,sours,soured,soured,souring
5586,source,sources,sourced,sourced,sourcing
5587,souse,souses,soused,soused,sousing
5588,sow,sows,sowed,sowed,sowing
5589,sow,sows,sowed,sown,sowing
5590,space,spaces,spaced,spaced,spacing
5591,spam,spams,spammed,spammed,spamming
5592,span,spans,spanned,spanned,spanning
5593,spangle,spangles,spangled,spangled,spangling
5594,spank,spanks,spanked,spanked,spanking
5595,spar,spars,sparred,sparred,sparring
5596,spare,spares,spared,spared,sparing
5597,spark,sparks,sparked,sparked,sparking
5598,sparkle,sparkles,sparkled,sparkled,sparkling
5599,spatter,spatters,spattered,spattered,spattering
5600,spawn,spawns,spawned,spawned,spawning
5601,spay,spays,spayed,spayed,spaying
5602,speak,speaks,spoke,spoken,speaking
5603,spear,spears,speared,speared,spearing
5604,spearhead,spearheads,spearheaded,spearheaded,spearheading
5605,spec,specs,specced,specced,speccing
5606,specialise,specialises,specialised,specialised,specialising
5607,specialize,specializes,specialized,specialized,specializing
5608,specify,specifies,specified,specified,specifying
5609,spectate,spectates,spectated,spectated,spectating
5610,speculate,speculates,speculated,speculated,speculating
5611,speechify,speechifies,speechified,speechified,speechifying
5612,speed,speeds,speeded,speeded,speeding
5613,speed,speeds,sped,sped,speeding
5614,speed-read,speed-reads,speed-read,speed-read,speed-reading
5615,speedread,speedreads,speedread,speedread,speedreading
5616,spell,spells,spelt,spelt,spelling
5617,spellcheck,spellchecks,spellchecked,spellchecked,spellchecking
5618,spend,spends,spent,spent,spending
5619,spew,spews,spewed,spewed,spewing
5620,spice,spices,spiced,spiced,spicing
5621,spiff,spiffs,spiffed,spiffed,spiffing
5622,spike,spikes,spiked,spiked,spiking
5623,spill,spills,spilled,spilled,spilling
5624,spill,spills,spilt,spilt,spilling
5625,spin,spins,span,spun,spinning
5626,spin,spins,spun,spun,spinning
5627,spin-dry,spin-dries,spin-dried,spin-dried,spin-drying
5628,spindry,spindries,spindried,spindried,spindrying
5629,spiral,spirals,spiralled,spiralled,spiralling
5630,spirit,spirits,spirited,spirited,spiriting
5631,spit,spits,spat,spat,spitting
5632,spit,spits,spit,spit,spitting
5633,spit-roast,spit-roasts,spit-roasted,spit-roasted,spit-roasting
5634,spite,spites,spited,spited,spiting
5635,spitroast,spitroasts,spitroasted,spitroasted,spitroasting
5636,splash,splashes,splashed,splashed,splashing
5637,splat,splats,splatted,splatted,splatting
5638,splatter,splatters,splattered,splattered,splattering
5639,splay,splays,splayed,splayed,splaying
5640,splice,splices,spliced,spliced,splicing
5641,splinter,splinters,splintered,splintered,splintering
5642,split,splits,split,split,splitting
5643,splosh,sploshes,sploshed,sploshed,sploshing
5644,splurge,splurges,splurged,splurged,splurging
5645,splutter,splutters,spluttered,spluttered,spluttering
5646,spoil,spoils,spoiled,spoiled,spoiling
5647,spoil,spoils,spoilt,spoilt,spoiling
5648,sponge,sponges,sponged,sponged,sponging
5649,sponsor,sponsors,sponsored,sponsored,sponsoring
5650,spoof,spoofs,spoofed,spoofed,spoofing
5651,spook,spooks,spooked,spooked,spooking
5652,spool,spools,spooled,spooled,spooling
5653,spoon,spoons,spooned,spooned,spooning
5654,spoon-feed,spoon-feeds,spoon-fed,spoon-fed,spoon-feeding
5655,spoonfeed,spoonfeeds,spoonfed,spoonfed,spoonfeeding
5656,sport,sports,sported,sported,sporting
5657,spot,spots,spotted,spotted,spotting
5658,spotlight,spotlights,spotlit,spotlit,spotlighting
5659,spout,spouts,spouted,spouted,spouting
5660,sprain,sprains,sprained,sprained,spraining
5661,sprawl,sprawls,sprawled,sprawled,sprawling
5662,spray,sprays,sprayed,sprayed,spraying
5663,spray-paint,spray-paints,spray-painted,spray-painted,spray-painting
5664,spraypaint,spraypaints,spraypainted,spraypainted,spraypainting
5665,spread,spreads,spread,spread,spreading
5666,spreadeagle,spreadeagles,spreadeagled,spreadeagled,spreadeagling
5667,spring,springs,sprang,sprung,springing
5668,spring-clean,spring-cleans,spring-cleaned,spring-cleaned,spring-cleaning
5669,springboard,springboards,springboarded,springboarded,springboarding
5670,springclean,springcleans,springcleaned,springcleaned,springcleaning
5671,sprinkle,sprinkles,sprinkled,sprinkled,sprinkling
5672,sprint,sprints,sprinted,sprinted,sprinting
5673,spritz,spritzes,spritzed,spritzed,spritzing
5674,sprout,sprouts,sprouted,sprouted,sprouting
5675,spruce,spruces,spruced,spruced,sprucing
5676,spur,spurs,spurred,spurred,spurring
5677,spurn,spurns,spurned,spurned,spurning
5678,spurt,spurts,spurted,spurted,spurting
5679,sputter,sputters,sputtered,sputtered,sputtering
5680,spy,spies,spied,spied,spying
5681,squabble,squabbles,squabbled,squabbled,squabbling
5682,squall,squalls,squalled,squalled,squalling
5683,squander,squanders,squandered,squandered,squandering
5684,square,squares,squared,squared,squaring
5685,squash,squashes,squashed,squashed,squashing
5686,squat,squats,squatted,squatted,squatting
5687,squawk,squawks,squawked,squawked,squawking
5688,squeak,squeaks,squeaked,squeaked,squeaking
5689,squeal,squeals,squealed,squealed,squealing
5690,squeeze,squeezes,squeezed,squeezed,squeezing
5691,squelch,squelches,squelched,squelched,squelching
5692,squint,squints,squinted,squinted,squinting
5693,squirm,squirms,squirmed,squirmed,squirming
5694,squirrel,squirrels,squirrelled,squirrelled,squirrelling
5695,squirt,squirts,squirted,squirted,squirting
5696,squish,squishes,squished,squished,squishing
5697,stab,stabs,stabbed,stabbed,stabbing
5698,stabilise,stabilises,stabilised,stabilised,stabilising
5699,stabilize,stabilizes,stabilized,stabilized,stabilizing
5700,stable,stables,stabled,stabled,stabling
5701,stack,stacks,stacked,stacked,stacking
5702,staff,staffs,staffed,staffed,staffing
5703,stage,stages,staged,staged,staging
5704,stage-manage,stage-manages,stage-managed,stage-managed,stage-managing
5705,stagemanage,stagemanages,stagemanaged,stagemanaged,stagemanaging
5706,stagger,staggers,staggered,staggered,staggering
5707,stagnate,stagnates,stagnated,stagnated,stagnating
5708,stain,stains,stained,stained,staining
5709,stake,stakes,staked,staked,staking
5710,stalk,stalks,stalked,stalked,stalking
5711,stall,stalls,stalled,stalled,stalling
5712,stammer,stammers,stammered,stammered,stammering
5713,stamp,stamps,stamped,stamped,stamping
5714,stampede,stampedes,stampeded,stampeded,stampeding
5715,stanch,stanches,stanched,stanched,stanching
5716,stand,stands,stood,stood,standing
5717,standardise,standardises,standardised,standardised,standardising
5718,standardize,standardizes,standardized,standardized,standardizing
5719,staple,staples,stapled,stapled,stapling
5720,star,stars,starred,starred,starring
5721,starch,starches,starched,starched,starching
5722,stare,stares,stared,stared,staring
5723,start,starts,started,started,starting
5724,startle,startles,startled,startled,startling
5725,starve,starves,starved,starved,starving
5726,stash,stashes,stashed,stashed,stashing
5727,state,states,stated,stated,stating
5728,statement,statements,statemented,statemented,statementing
5729,station,stations,stationed,stationed,stationing
5730,staunch,staunches,staunched,staunched,staunching
5731,stave,staves,staved,staved,staving
5732,stay,stays,stayed,stayed,staying
5733,steady,steadies,steadied,steadied,steadying
5734,steal,steals,stole,stolen,stealing
5735,steam,steams,steamed,steamed,steaming
5736,steam clean,steam cleans,steam cleaned,steam cleaned,steam cleaning
5737,steamroll,steamrolls,steamrolled,steamrolled,steamrolling
5738,steamroller,steamrollers,steamrollered,steamrollered,steamrollering
5739,steel,steels,steeled,steeled,steeling
5740,steep,steeps,steeped,steeped,steeping
5741,steepen,steepens,steepened,steepened,steepening
5742,steer,steers,steered,steered,steering
5743,stem,stems,stemmed,stemmed,stemming
5744,stencil,stencils,stencilled,stencilled,stencilling
5745,step,steps,stepped,stepped,stepping
5746,stereotype,stereotypes,stereotyped,stereotyped,stereotyping
5747,sterilise,sterilises,sterilised,sterilised,sterilising
5748,sterilize,sterilizes,sterilized,sterilized,sterilizing
5749,stew,stews,stewed,stewed,stewing
5750,stick,sticks,stuck,stuck,sticking
5751,stickybeak,stickybeaks,stickybeaked,stickybeaked,stickybeaking
5752,stiff,stiffs,stiffed,stiffed,stiffing
5753,stiff-arm,stiff-arms,stiff-armed,stiff-armed,stiff-arming
5754,stiffarm,stiffarms,stiffarmed,stiffarmed,stiffarming
5755,stiffen,stiffens,stiffened,stiffened,stiffening
5756,stifle,stifles,stifled,stifled,stifling
5757,stigmatise,stigmatises,stigmatised,stigmatised,stigmatising
5758,stigmatize,stigmatizes,stigmatized,stigmatized,stigmatizing
5759,still,stills,stilled,stilled,stilling
5760,stimulate,stimulates,stimulated,stimulated,stimulating
5761,sting,stings,stung,stung,stinging
5762,stink,stinks,stank,stunk,stinking
5763,stint,stints,stinted,stinted,stinting
5764,stipple,stipples,stippled,stippled,stippling
5765,stipulate,stipulates,stipulated,stipulated,stipulating
5766,stir,stirs,stirred,stirred,stirring
5767,stir-fry,stir-fries,stir-fried,stir-fried,stir-frying
5768,stirfry,stirfries,stirfried,stirfried,stirfrying
5769,stitch,stitches,stitched,stitched,stitching
5770,stock,stocks,stocked,stocked,stocking
5771,stockpile,stockpiles,stockpiled,stockpiled,stockpiling
5772,stoke,stokes,stoked,stoked,stoking
5773,stomach,stomachs,stomached,stomached,stomaching
5774,stomp,stomps,stomped,stomped,stomping
5775,stone,stones,stoned,stoned,stoning
5776,stonewall,stonewalls,stonewalled,stonewalled,stonewalling
5777,stoop,stoops,stooped,stooped,stooping
5778,stop,stops,stopped,stopped,stopping
5779,stopper,stoppers,stoppered,stoppered,stoppering
5780,store,stores,stored,stored,storing
5781,storm,storms,stormed,stormed,storming
5782,storyboard,storyboards,storyboarded,storyboarded,storyboarding
5783,stow,stows,stowed,stowed,stowing
5784,straddle,straddles,straddled,straddled,straddling
5785,strafe,strafes,strafed,strafed,strafing
5786,straggle,straggles,straggled,straggled,straggling
5787,straight-arm,straight-arms,straight-armed,straight-armed,straight-arming
5788,straightarm,straightarms,straightarmed,straightarmed,straightarming
5789,straighten,straightens,straightened,straightened,straightening
5790,strain,strains,strained,strained,straining
5791,strand,strands,stranded,stranded,stranding
5792,strangle,strangles,strangled,strangled,strangling
5793,strap,straps,strapped,strapped,strapping
5794,stratify,stratifies,stratified,stratified,stratifying
5795,stravaig,stravaigs,stravaiged,stravaiged,stravaiging
5796,stray,strays,strayed,strayed,straying
5797,streak,streaks,streaked,streaked,streaking
5798,stream,streams,streamed,streamed,streaming
5799,streamline,streamlines,streamlined,streamlined,streamlining
5800,strengthen,strengthens,strengthened,strengthened,strengthening
5801,stress,stresses,stressed,stressed,stressing
5802,stretch,stretches,stretched,stretched,stretching
5803,stretcher,stretchers,stretchered,stretchered,stretchering
5804,strew,strews,strewed,strewed,strewing
5805,strew,strews,strewed,strewn,strewing
5806,stride,strides,strode,stridden,striding
5807,strike,strikes,struck,stricken,striking
5808,strike,strikes,struck,struck,striking
5809,string,strings,strung,strung,stringing
5810,strip,strips,stripped,stripped,stripping
5811,strip-search,strip-searches,strip-searched,strip-searched,strip-searching
5812,stripsearch,stripsearches,stripsearched,stripsearched,stripsearching
5813,strive,strives,strove,striven,striving
5814,stroke,strokes,stroked,stroked,stroking
5815,stroll,strolls,strolled,strolled,strolling
5816,structure,structures,structured,structured,structuring
5817,struggle,struggles,struggled,struggled,struggling
5818,strum,strums,strummed,strummed,strumming
5819,strut,struts,strutted,strutted,strutting
5820,stub,stubs,stubbed,stubbed,stubbing
5821,stud,studs,studded,studded,studding
5822,study,studies,studied,studied,studying
5823,stuff,stuffs,stuffed,stuffed,stuffing
5824,stultify,stultifies,stultified,stultified,stultifying
5825,stumble,stumbles,stumbled,stumbled,stumbling
5826,stump,stumps,stumped,stumped,stumping
5827,stun,stuns,stunned,stunned,stunning
5828,stunt,stunts,stunted,stunted,stunting
5829,stupefy,stupefies,stupefied,stupefied,stupefying
5830,stutter,stutters,stuttered,stuttered,stuttering
5831,style,styles,styled,styled,styling
5832,stymie,stymies,stymied,stymied,stymieing
5833,sub,subs,subbed,subbed,subbing
5834,subcontract,subcontracts,subcontracted,subcontracted,subcontracting
5835,subdivide,subdivides,subdivided,subdivided,subdividing
5836,subdue,subdues,subdued,subdued,subduing
5837,subedit,subedits,subedited,subedited,subediting
5838,subject,subjects,subjected,subjected,subjecting
5839,subjugate,subjugates,subjugated,subjugated,subjugating
5840,sublet,sublets,sublet,sublet,subletting
5841,sublimate,sublimates,sublimated,sublimated,sublimating
5842,submerge,submerges,submerged,submerged,submerging
5843,submit,submits,submitted,submitted,submitting
5844,subordinate,subordinates,subordinated,subordinated,subordinating
5845,suborn,suborns,suborned,suborned,suborning
5846,subpoena,subpoenas,subpoenaed,subpoenaed,subpoenaing
5847,subscribe,subscribes,subscribed,subscribed,subscribing
5848,subside,subsides,subsided,subsided,subsiding
5849,subsidise,subsidises,subsidised,subsidised,subsidising
5850,subsidize,subsidizes,subsidized,subsidized,subsidizing
5851,subsist,subsists,subsisted,subsisted,subsisting
5852,substantiate,substantiates,substantiated,substantiated,substantiating
5853,substitute,substitutes,substituted,substituted,substituting
5854,subsume,subsumes,subsumed,subsumed,subsuming
5855,subtend,subtends,subtended,subtended,subtending
5856,subtitle,subtitles,subtitled,subtitled,subtitling
5857,subtract,subtracts,subtracted,subtracted,subtracting
5858,subvert,subverts,subverted,subverted,subverting
5859,succeed,succeeds,succeeded,succeeded,succeeding
5860,succour,succours,succoured,succoured,succouring
5861,succumb,succumbs,succumbed,succumbed,succumbing
5862,suck,sucks,sucked,sucked,sucking
5863,sucker,suckers,suckered,suckered,suckering
5864,sucker punch,sucker punches,sucker punched,sucker punched,sucker punching
5865,suckle,suckles,suckled,suckled,suckling
5866,suction,suctions,suctioned,suctioned,suctioning
5867,sue,sues,sued,sued,suing
5868,suffer,suffers,suffered,suffered,suffering
5869,suffice,suffices,sufficed,sufficed,sufficing
5870,suffocate,suffocates,suffocated,suffocated,suffocating
5871,suffuse,suffuses,suffused,suffused,suffusing
5872,sugar,sugars,sugared,sugared,sugaring
5873,sugar-coat,sugar-coats,sugar-coated,sugar-coated,sugar-coating
5874,sugarcoat,sugarcoats,sugarcoated,sugarcoated,sugarcoating
5875,suggest,suggests,suggested,suggested,suggesting
5876,suit,suits,suited,suited,suiting
5877,sulk,sulks,sulked,sulked,sulking
5878,sully,sullies,sullied,sullied,sullying
5879,sum,sums,summed,summed,summing
5880,summarise,summarises,summarised,summarised,summarising
5881,summarize,summarizes,summarized,summarized,summarizing
5882,summer,summers,summered,summered,summering
5883,summon,summons,summoned,summoned,summoning
5884,summons,summonses,summonsed,summonsed,summonsing
5885,sun,suns,sunned,sunned,sunning
5886,sunbathe,sunbathes,sunbathed,sunbathed,sunbathing
5887,sunburn,sunburns,sunburned,sunburned,sunburning
5888,sunburn,sunburns,sunburnt,sunburt,sunburning
5889,sunder,sunders,sundered,sundered,sundering
5890,sunset,sunsets,sunsetted,sunsetted,sunsetting
5891,sup,sups,supped,supped,supping
5892,superimpose,superimposes,superimposed,superimposed,superimposing
5893,superintend,superintends,superintended,superintended,superintending
5894,superpose,superposes,superposed,superposed,superposing
5895,supersede,supersedes,superseded,superseded,superseding
5896,supersise,supersises,supersised,supersised,supersising
5897,supersize,supersizes,supersized,supersized,supersizing
5898,supervene,supervenes,supervened,supervened,supervening
5899,supervise,supervises,supervised,supervised,supervising
5900,supplant,supplants,supplanted,supplanted,supplanting
5901,supplement,supplements,supplemented,supplemented,supplementing
5902,supply,supplies,supplied,supplied,supplying
5903,support,supports,supported,supported,supporting
5904,suppose,supposes,supposed,supposed,supposing
5905,suppress,suppresses,suppressed,suppressed,suppressing
5906,suppurate,suppurates,suppurated,suppurated,suppurating
5907,surcharge,surcharges,surcharged,surcharged,surcharging
5908,surf,surfs,surfed,surfed,surfing
5909,surface,surfaces,surfaced,surfaced,surfacing
5910,surge,surges,surged,surged,surging
5911,surmise,surmises,surmised,surmised,surmising
5912,surmount,surmounts,surmounted,surmounted,surmounting
5913,surpass,surpasses,surpassed,surpassed,surpassing
5914,surprise,surprises,surprised,surprised,surprising
5915,surrender,surrenders,surrendered,surrendered,surrendering
5916,surround,surrounds,surrounded,surrounded,surrounding
5917,survey,surveys,surveyed,surveyed,surveying
5918,survive,survives,survived,survived,surviving
5919,suspect,suspects,suspected,suspected,suspecting
5920,suspend,suspends,suspended,suspended,suspending
5921,suss,susses,sussed,sussed,sussing
5922,sustain,sustains,sustained,sustained,sustaining
5923,suture,sutures,sutured,sutured,suturing
5924,swab,swabs,swabbed,swabbed,swabbing
5925,swaddle,swaddles,swaddled,swaddled,swaddling
5926,swagger,swaggers,swaggered,swaggered,swaggering
5927,swallow,swallows,swallowed,swallowed,swallowing
5928,swamp,swamps,swamped,swamped,swamping
5929,swan,swans,swanned,swanned,swanning
5930,swank,swanks,swanked,swanked,swanking
5931,swap,swaps,swapped,swapped,swapping
5932,swarm,swarms,swarmed,swarmed,swarming
5933,swat,swats,swatted,swatted,swatting
5934,swathe,swathes,swathed,swathed,swathing
5935,sway,sways,swayed,swayed,swaying
5936,swear,swears,swore,sworn,swearing
5937,sweat,sweats,sweat,sweat,sweating
5938,sweat,sweats,sweated,sweated,sweating
5939,sweep,sweeps,swept,swept,sweeping
5940,sweep,sweeps,sweeped,sweeped,sweeping
5941,sweet-talk,sweet-talks,sweet-talked,sweet-talked,sweet-talking
5942,sweeten,sweetens,sweetened,sweetened,sweetening
5943,sweettalk,sweettalks,sweettalked,sweettalked,sweettalking
5944,swell,swells,swelled,swelled,swelling
5945,swell,swells,swelled,swollen,swelling
5946,swelter,swelters,sweltered,sweltered,sweltering
5947,swerve,swerves,swerved,swerved,swerving
5948,swig,swigs,swigged,swigged,swigging
5949,swill,swills,swilled,swilled,swilling
5950,swim,swims,swam,swum,swimming
5951,swindle,swindles,swindled,swindled,swindling
5952,swing,swings,swung,swung,swinging
5953,swipe,swipes,swiped,swiped,swiping
5954,swirl,swirls,swirled,swirled,swirling
5955,swish,swishes,swished,swished,swishing
5956,switch,switches,switched,switched,switching
5957,swivel,swivels,swivelled,swivelled,swivelling
5958,swoon,swoons,swooned,swooned,swooning
5959,swoop,swoops,swooped,swooped,swooping
5960,swoosh,swooshes,swooshed,swooshed,swooshing
5961,swop,swops,swopped,swopped,swopping
5962,swot,swots,swotted,swotted,swotting
5963,symbolise,symbolises,symbolised,symbolised,symbolising
5964,symbolize,symbolizes,symbolized,symbolized,symbolizing
5965,sympathise,sympathises,sympathised,sympathised,sympathising
5966,sympathize,sympathizes,sympathized,sympathized,sympathizing
5967,symptomise,symptomises,symptomised,symptomised,symptomising
5968,symptomize,symptomizes,symptomized,symptomized,symptomizing
5969,sync,syncs,synced,synced,syncing
5970,synchronise,synchronises,synchronised,synchronised,synchronising
5971,synchronize,synchronizes,synchronized,synchronized,synchronizing
5972,syndicate,syndicates,syndicated,syndicated,syndicating
5973,synthesise,synthesises,synthesised,synthesised,synthesising
5974,synthesize,synthesizes,synthesized,synthesized,synthesizing
5975,syringe,syringes,syringed,syringed,syringing
5976,systematise,systematises,systematised,systematised,systematising
5977,systematize,systematizes,systematized,systematized,systematizing
5978,tab,tabs,tabbed,tabbed,tabbing
5979,table,tables,tabled,tabled,tabling
5980,tabulate,tabulates,tabulated,tabulated,tabulating
5981,tack,tacks,tacked,tacked,tacking
5982,tackle,tackles,tackled,tackled,tackling
5983,tag,tags,tagged,tagged,tagging
5984,tail,tails,tailed,tailed,tailing
5985,tailgate,tailgates,tailgated,tailgated,tailgating
5986,tailor,tailors,tailored,tailored,tailoring
5987,taint,taints,tainted,tainted,tainting
5988,take,takes,took,taken,taking
5989,talk,talks,talked,talked,talking
5990,tally,tallies,tallied,tallied,tallying
5991,tame,tames,tamed,tamed,taming
5992,tamp,tamps,tamped,tamped,tamping
5993,tamper,tampers,tampered,tampered,tampering
5994,tan,tans,tanned,tanned,tanning
5995,tangle,tangles,tangled,tangled,tangling
5996,tango,tangoes,tangoed,tangoed,tangoing
5997,tank,tanks,tanked,tanked,tanking
5998,tantalise,tantalises,tantalised,tantalised,tantalising
5999,tantalize,tantalizes,tantalized,tantalized,tantalizing
6000,tap,taps,tapped,tapped,tapping
6001,tape,tapes,taped,taped,taping
6002,tape record,tape records,tape recorded,tape recorded,tape recording
6003,tape-record,tape-records,tape-recorded,tape-recorded,tape-recording
6004,taper,tapers,tapered,tapered,tapering
6005,taperecord,taperecords,taperecorded,taperecorded,taperecording
6006,tar,tars,tarred,tarred,tarring
6007,target,targets,targeted,targeted,targeting
6008,tarmac,tarmacs,tarmacked,tarmacked,tarmacking
6009,tarnish,tarnishes,tarnished,tarnished,tarnishing
6010,tarry,tarries,tarried,tarried,tarrying
6011,tart,tarts,tarted,tarted,tarting
6012,taser,tasers,tasered,tasered,tasering
6013,task,tasks,tasked,tasked,tasking
6014,taste,tastes,tasted,tasted,tasting
6015,tattle,tattles,tattled,tattled,tattling
6016,tattoo,tattoos,tattooed,tattooed,tattooing
6017,taunt,taunts,taunted,taunted,taunting
6018,tauten,tautens,tautened,tautened,tautening
6019,tax,taxes,taxed,taxed,taxing
6020,taxi,taxies,taxied,taxied,taxiing
6021,teach,teaches,taught,taught,teaching
6022,team,teams,teamed,teamed,teaming
6023,tear,tears,tore,torn,tearing
6024,tease,teases,teased,teased,teasing
6025,tee,tees,teed,teed,teeing
6026,teem,teems,teemed,teemed,teeming
6027,teeter,teeters,teetered,teetered,teetering
6028,teethe,teethes,teethed,teethed,teething
6029,telecast,telecasts,telecast,telecast,telecasting
6030,telecommute,telecommutes,telecommuted,telecommuted,telecommuting
6031,teleconference,teleconferences,teleconferenced,teleconferenced,teleconferencing
6032,telegraph,telegraphs,telegraphed,telegraphed,telegraphing
6033,telemeter,telemeters,telemetered,telemetered,telemetering
6034,teleoperate,teleoperates,teleoperated,teleoperated,teleoperating
6035,telephone,telephones,telephoned,telephoned,telephoning
6036,teleport,teleports,teleported,teleported,teleporting
6037,telescope,telescopes,telescoped,telescoped,telescoping
6038,televise,televises,televised,televised,televising
6039,telex,telexes,telexed,telexed,telexing
6040,tell,tells,told,told,telling
6041,telnet,telnets,telnetted,telnetted,telnetting
6042,temp,temps,temped,temped,temping
6043,temper,tempers,tempered,tempered,tempering
6044,temporise,temporises,temporised,temporised,temporising
6045,temporize,temporizes,temporized,temporized,temporizing
6046,tempt,tempts,tempted,tempted,tempting
6047,tenant,tenants,tenanted,tenanted,tenanting
6048,tend,tends,tended,tended,tending
6049,tender,tenders,tendered,tendered,tendering
6050,tenderise,tenderises,tenderised,tenderised,tenderising
6051,tenderize,tenderizes,tenderized,tenderized,tenderizing
6052,tense,tenses,tensed,tensed,tensing
6053,tension,tensions,tensioned,tensioned,tensioning
6054,tergiversate,tergiversates,tergiversated,tergiversated,tergiversating
6055,term,terms,termed,termed,terming
6056,terminate,terminates,terminated,terminated,terminating
6057,terraform,terraforms,terraformed,terraformed,terraforming
6058,terrify,terrifies,terrified,terrified,terrifying
6059,terrorise,terrorises,terrorised,terrorised,terrorising
6060,terrorize,terrorizes,terrorized,terrorized,terrorizing
6061,test,tests,tested,tested,testing
6062,test-drive,test-drives,test-drove,test-driven,test-driving
6063,testdrive,testdrives,testdrove,testdriven,testdriving
6064,testify,testifies,testified,testified,testifying
6065,tether,tethers,tethered,tethered,tethering
6066,text,texts,texted,texted,texting
6067,text message,text messages,text messaged,text messaged,text messaging
6068,text-message,text-messages,text-messaged,text-messaged,text-messaging
6069,textmessage,textmessages,textmessaged,textmessaged,textmessaging
6070,thank,thanks,thanked,thanked,thanking
6071,thatch,thatches,thatched,thatched,thatching
6072,thaw,thaws,thawed,thawed,thawing
6073,theorise,theorises,theorised,theorised,theorising
6074,theorize,theorizes,theorized,theorized,theorizing
6075,thicken,thickens,thickened,thickened,thickening
6076,thin,thins,thinned,thinned,thinning
6077,think,thinks,thought,thought,thinking
6078,thirst,thirsts,thirsted,thirsted,thirsting
6079,thrash,thrashes,thrashed,thrashed,thrashing
6080,thread,threads,threaded,threaded,threading
6081,threaten,threatens,threatened,threatened,threatening
6082,three-peat,three-peats,three-peated,three-peated,three-peating
6083,threepeat,threepeats,threepeated,threepeated,threepeating
6084,thresh,threshes,threshed,threshed,threshing
6085,thrill,thrills,thrilled,thrilled,thrilling
6086,thrive,thrives,thrived,thrived,thriving
6087,thrive,thrives,throve,thriven,thriving
6088,throb,throbs,throbbed,throbbed,throbbing
6089,throng,throngs,thronged,thronged,thronging
6090,throttle,throttles,throttled,throttled,throttling
6091,throw,throws,threw,thrown,throwing
6092,thrum,thrums,thrummed,thrummed,thrumming
6093,thrust,thrusts,thrust,thrust,thrusting
6094,thud,thuds,thudded,thudded,thudding
6095,thumb,thumbs,thumbed,thumbed,thumbing
